what,kind,bundleId,bundleVersion,description,time
java.runtime.version,sysinfo,,,"1.6.0_24-b07",1304393724213
java.specification.name,sysinfo,,,"Java Platform API Specification",1304393724213
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1304393724213
java.specification.version,sysinfo,,,"1.6",1304393724213
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1304393724213
java.version,sysinfo,,,"1.6.0_24",1304393724213
java.vm.info,sysinfo,,,"mixed mode, sharing",1304393724213
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1304393724213
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1304393724213
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1304393724213
java.vm.specification.version,sysinfo,,,"1.0",1304393724213
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1304393724213
java.vm.version,sysinfo,,,"19.1-b02",1304393724213
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1304393724229
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1304393724277
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1304393724504
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1304393724539
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1304393724551
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1304393724739
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1304393724749
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1304393729455
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1304393741484
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.showRulerContextMenu",1304393745154
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.window.showViewMenu",1304393749219
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304393749260
